ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Computational Thinking,,FOUND
2,Decomposition,1,FOUND
3,Pattern Recognition,1,FOUND
4,Abstraction,1|2,FOUND
5,Algorithmic Thinking,1|2|3,FOUND
6,MicroPython,7,PYTH
7,Python Syntax,,PYTH
8,Variables,7,PYTH
9,Data Types,8,PYTH
10,Integers,9,PYTH
11,Floats,9,PYTH
12,Strings,9,PYTH
13,Booleans,9,PYTH
14,Lists,9,PYTH
15,Tuples,9|14,PYTH
16,Dictionaries,9|14,PYTH
17,Arithmetic Operations,10|11,PYTH
18,Assignment Operators,8,PYTH
19,Conditionals,8|13,PYTH
20,If Else Elif,19,PYTH
21,For Loops,14|19,PYTH
22,While Loops,19,PYTH
23,Loop Control,21|22,PYTH
24,Functions,8|19,PYTH
25,Arguments and Returns,24,PYTH
26,Lambda Functions,24|25,PYTH
27,Import Statements,7,PYTH
28,Libraries,27,PYTH
29,Modules,27|28,PYTH
30,Error Handling,24,PYTH
31,Try Except Blocks,30,PYTH
32,Raspberry Pi Pico,47,MCTR
33,RP2040 Chip,32,MCTR
34,Dual Core Architecture,33,MCTR
35,GPIO Pins,32|36,MCTR
36,Pin Configuration,32,MCTR
37,Pull-Up Resistors,264|35,MCTR
38,Internal Pull-Up,37,MCTR
39,Breadboard,,HARD
40,Breadboard Wiring,39|277,HARD
41,USB Connection,32,MCTR
42,Thonny IDE,6|41,MCTR
43,REPL,42,MCTR
44,Flash Memory,33,MCTR
45,File System on Pico,44,MCTR
46,Config File Pattern,45|29|214,MCTR
47,Microcontroller,,MCTR
48,Physical Computing,47|50|51,FOUND
49,Clock Architecture,47|50|51|52,MCTR
50,Sensors,47,MCTR
51,Actuators,47,MCTR
52,Power Supply,264,HARD
53,Voltage Levels,264,HARD
54,3.3V vs 5V Logic,53,HARD
55,Ground Connection,264,HARD
56,I2C Bus,47|57|58,COMM
57,I2C SDA Pin,35,COMM
58,I2C SCL Pin,35,COMM
59,I2C Device Addressing,56,COMM
60,I2C Scanner,56|59|6,COMM
61,I2C Pull-Up Resistors,56|37,COMM
62,I2C Bus Speed,56,COMM
63,SPI Bus,47|64|65,COMM
64,SPI Clock Pin,35,COMM
65,SPI Data Pin,35,COMM
66,SPI Chip Select,63|35,COMM
67,SPI DC Pin,63|35,COMM
68,SPI Reset Pin,63|35,COMM
69,SPI Baudrate,63,COMM
70,Baudrate Tuning,69|207,COMM
71,Bus Speed Comparison,56|63,COMM
72,Momentary Push Button,39|35,INPT
73,Button Wiring,72|40|37,INPT
74,Button Debouncing,73,INPT
75,Software Debounce,74|248|249,INPT
76,Hardware Debounce,74|267,INPT
77,Interrupt Handlers,35|24|254,INPT
78,IRQ Falling Edge,77,INPT
79,State Machine,20|22|8,INPT
80,Mode Cycling,79|81|77,INPT
81,Modular Arithmetic,17|10,MATH
82,Rotary Encoder,50|35|77,INPT
83,Encoder Direction,82,INPT
84,Encoder Acceleration,83|17,INPT
85,Localtime Function,6|86,TIME
86,Time Tuple,15,TIME
87,Year Month Day,85,TIME
88,Hour Minute Second,85,TIME
89,Weekday Number,85,TIME
90,Day of Year,85,TIME
91,12 Hour Format,88|19,TIME
92,24 Hour Format,88,TIME
93,AM PM Conversion,91|19,TIME
94,Time Formatting,85|251|12,TIME
95,Date Formatting,85|251|12,TIME
96,Weekday Labels,89|14,TIME
97,Month Labels,87|14,TIME
98,Real-Time Clock,49|56,TIME
99,DS3231 RTC,98|56,TIME
100,RTC Battery Backup,99|101,TIME
101,CR2032 Coin Cell,52,SNPW
102,Temperature Compensation,99|291,TIME
103,BCD Format,99|10,TIME
104,RTC I2C Address,99|59,TIME
105,RTC Registers,99|103,TIME
106,RTC Alarm Feature,105|190,TIME
107,RTC Temperature Sensor,99|105,TIME
108,Internal Pico RTC,33|85,TIME
109,Time Source Comparison,108|99|118,TIME
110,WiFi Connectivity,111|114,TIME
111,Pico W,32,MCTR
112,Secrets File,45|110,TIME
113,WiFi SSID and Password,112,TIME
114,Network Configuration,111|29,TIME
115,NTP Protocol,119,TIME
116,NTP Client Server,115,TIME
117,NTP Stratum Hierarchy,116,TIME
118,NTP Time Sync,110|115|122,TIME
119,UTC Time,85,TIME
120,Timezone Conversion,119|17,TIME
121,Daylight Saving Time,120,TIME
122,Ntptime Library,28|115,TIME
123,LED Display,51|269,DISP
124,Seven Segment Display,123,DISP
125,Segment Multiplexing,124|22,DISP
126,TM1637 Driver,124|28|56,DISP
127,TM1637 Wiring,126|40,DISP
128,Colon Flashing,126|22|248,DISP
129,Brightness Control,126|197,DISP
130,MAX7219 Driver,124|63|28,DISP
131,Character LCD,123,DISP
132,LCD1602 Display,131|56,DISP
133,OLED Display,123|279,DISP
134,SSD1306 Driver,133|28,DISP
135,SSD1306 I2C Setup,134|56,DISP
136,SSD1306 SPI Setup,134|63,DISP
137,SH1106 Driver,133|56|28,DISP
138,Framebuffer,133|44,DISP
139,Display Show Command,138,DISP
140,Display Fill Command,138,DISP
141,Pixel Drawing,138|237,DISP
142,Line Drawing,141,DISP
143,Rectangle Drawing,142,DISP
144,Circle Drawing,142|233,DISP
145,Polygon Drawing,142|14,DISP
146,Triangle Drawing,145,DISP
147,Text Rendering,138|12,DISP
148,Font Loading,147|28,DISP
149,Custom Fonts,148,DISP
150,Font to Py Converter,149,DISP
151,Multiple Font Support,149|150,DISP
152,Scaled Digits,147|17,DISP
153,Color Display,123|158,DISP
154,TFT LCD,153,DISP
155,ILI9341 Driver,154|63|28,DISP
156,ST7735 Driver,154|63|28,DISP
157,GC9A01 Driver,154|63|28|162,DISP
158,RGB565 Color Encoding,10|160,DISP
159,Color565 Function,158|24,DISP
160,Color Palette,14|269,DISP
161,Colors File,160|29|159,DISP
162,Round Display,153|279,DISP
163,Smartwatch Display,162|157,DISP
164,Display Rotation,138|46,DISP
165,Analog Clock Face,144|166|167|233,DISP
166,Clock Tick Marks,142|241,DISP
167,Clock Hands,142|240,DISP
168,Rotating Hands,167|243|231|232,DISP
169,Digital Clock Face,147|152|94,DISP
170,NeoPixel LEDs,173|269,PROJ
171,WS2812B Standard,170,PROJ
172,NeoPixel Wiring,170|40,PROJ
173,Addressable LEDs,269|35,PROJ
174,NeoPixel Color Mixing,170|311,PROJ
175,Binary Clock,170|10|330,PROJ
176,Fibonacci Clock,170|3|17,PROJ
177,NeoPixel Seven Segment,170|124,PROJ
178,Shift Register,180,PROJ
179,74HC595 Chip,178|35,PROJ
180,Serial to Parallel,47|330,PROJ
181,Latch Pin,179,PROJ
182,Shift Register Chaining,179|181,PROJ
183,PWM Sound,35|6|17,SNPW
184,Piezo Buzzer,183|51,SNPW
185,Speaker Output,183|270,SNPW
186,DAC PCM5102,187|28,SNPW
187,I2S Protocol,47|63,SNPW
188,Audio Sampling Rate,186,SNPW
